show_title,rating,image,trailer,description,cast_members
heart of stone,5.7,https://m.media-amazon.com/images/M/MV5BOTM5OTQ2ZTYtY2EzMC00Zjc3LTg3NWEtZWI4OTdlMjcwMGFlXkEyXkFqcGc@.jpg,https://www.youtube.com/watch?v=XuDwndGaCFo,An intelligence operative for a shadowy global peacekeeping agency races to stop a hacker from stealing its most valuable and dangerous weapon.,"Gal Gadot, Jamie Dornan, Alia Bhatt, Jing Lusi, Paul Ready"
under paris,5.2,https://m.media-amazon.com/images/M/MV5BMDM5ODBiN2ItOTk4Yi00NzgyLWE2YTktYzhjYTc2ODE4ZTE4XkEyXkFqcGc@.jpg,https://www.youtube.com/watch?v=jnCefPQIH98,"To save Paris from a bloodbath, a grieving scientist is forced to face her tragic past when a giant shark appears in the Seine.","Bérénice Bejo, Nassim Lyes, Léa Léviant, Sandra Parfait, Aksel Ustun"
fool me once,6.8,https://m.media-amazon.com/images/M/MV5BYzJiMzhlNWYtMzhlYi00YWZlLThmMzUtOWE4MDI0ZDg0ZjEzXkEyXkFqcGc@.jpg,https://www.youtube.com/watch?v=nhC8AG8cwcc,Widowed mum Maya is disturbed by an image of her late husband captured on her toddler's nanny cam.,"Michelle Keegan, Adeel Akhtar, Richard Armitage, Emmett J. Scanlan, Thea Taylor-Morgan"
war machine,6.3,https://m.media-amazon.com/images/M/MV5BMmM1ZTc5ZTYtOTM2My00MjBmLWE5NzktYzkyYzdlYWE3ZDAzXkEyXkFqcGc@.jpg,https://www.imdb.com/video/vi1224395545/?playlistId=tt15940132&ref_=tt_ov_pr_ov_vi,Follow the final recruits of a grueling special ops boot camp who encounter a mysterious deadly force.,"Alan Ritchson, Dennis Quaid, Jai Courtney, Esai Morales, Stephan James"
his & hers,7.1,https://m.media-amazon.com/images/M/MV5BNWQ4Y2QyNzEtZGQyYS00MGUzLTgxNGMtMjZmNzM0ZjRhYjdlXkEyXkFqcGc@.jpg,,"A journalist investigating a murder in her hometown clashes with a suspicious detective. There are two sides to every story, and someone is lying.","Tessa Thompson, Jon Bernthal, Pablo Schreiber, Crystal Fox, Marin Ireland"
frankenstein,7.4,https://m.media-amazon.com/images/M/MV5BYzYzNDYxMTQtMTU4OS00MTdlLThhMTQtZjI4NGJmMTZmNmRiXkEyXkFqcGc@.jpg,,"Dr. Victor Frankenstein, a brilliant but egotistical scientist, brings a creature to life in a monstrous experiment that ultimately leads to the undoing of both the creator and his tragic creation.","Oscar Isaac, Jacob Elordi, Christoph Waltz, Mia Goth, Felix Kammerer"
one piece,9.0,https://m.media-amazon.com/images/M/MV5BMTNjNGU4NTUtYmVjMy00YjRiLTkxMWUtNzZkMDNiYjZhNmViXkEyXkFqcGc@.jpg,https://www.youtube.com/watch?v=1KMcoJBMWE4,"Monkey D. Luffy, a pirate with rubber powers, forms the Straw Hat crew and sails the Grand Line, battling rivals and the World Government on a quest for the legendary treasure One Piece and the title of Pirate King.","Mayumi Tanaka, Akemi Okamura, Laurent Vernin, Tony Beck, Kazuya Nakai"
rebel moon — part one: a child of fire,5.6,https://m.media-amazon.com/images/M/MV5BYTRmOTk2ZDYtY2Q3Mi00MGYwLWFjNDQtYTliODc3NzM1ZjBlXkEyXkFqcGc@.jpg,https://www.youtube.com/watch?v=_rHLOXbFZtI,"When a peaceful settlement on the edge of a distant moon finds itself threatened by a tyrannical ruling force, a stranger living among its villagers becomes their best hope for survival.","Sofia Boutella, Djimon Hounsou, Ed Skrein, Michiel Huisman, Bae Doona"
exterritorial,5.8,https://m.media-amazon.com/images/M/MV5BYjVkMzI2MjAtYzA3NC00OGE1LWEyZDMtODc0YTc5NTZjYzFiXkEyXkFqcGc@.jpg,,"When a soldier's son vanishes at a US consulate, she illegally remains on the premises to search for him, unknowingly entangling herself in a dangerous conspiracy.","Jeanne Goursaud, Dougray Scott, Lera Abova, Kayode Akinyemi, Annabelle Mandeng"
baby reindeer,7.7,https://m.media-amazon.com/images/M/MV5BNzlmY2E1OTUtMjEzZi00Y2YxLWI5NmMtZmZhOWZkMjIzMDJiXkEyXkFqcGc@.jpg,https://www.youtube.com/watch?v=eafm1gB6SCM,"The story follows Donny's warped relationship with a female stalker and the impact it has on him as he is ultimately forced to face a deep, dark buried trauma.","Richard Gadd, Jessica Gunning, Nava Mau, Michael Wildman, Danny Kirrane"
the lincoln lawyer,7.3,https://m.media-amazon.com/images/M/MV5BMTQ4NDE4NTY5MV5BMl5BanBnXkFtZTcwODQyMTkxNA@@.jpg,https://www.youtube.com/watch?v=IFwE3UgCMIk,"Defence lawyer Mick Haller lands a case defending a wealthy realtor's son who is accused of raping a prostitute. Believing his client to be innocent, Haller soon finds evidence that proves otherwise.","Matthew McConaughey, Marisa Tomei, Ryan Phillippe, William H. Macy, Josh Lucas"
